Dietary Notes,Dish,Image URL,Prep Ahead,Prep Time,Rating
Gluten Free; Nut / Soy Free,Five-Spice Hangar Steaks with Stir Fried Brown Rice ,http://media.blueapron.com/recipes/80/c_main_dish_images/20140228-2151-2-7866/ForPrint_high_feature.jpg,FALSE,< 30 min,3.5
Nut / Soy Free; Vegan; Vegetarian; Healthy Choice,"Braised Carrots, Mushrooms, and Brussel Sprouts on Creamy Polenta",http://media.blueapron.com/recipes/355/c_main_dish_images/20140228-2233-2-4893/ForPrint_high_feature.jpg,TRUE,< 30 min,4
Spicy; Healthy Choice; Nut / Soy Free; Gluten Free,"Latin-Spiced Shrimp Lettuce Cups with Red Quinoa & Poblano, Jicama, and Orange Salad",http://media.blueapron.com/recipes/348/c_main_dish_images/20140221-2207-2-7056/forcard_high_feature.jpg,TRUE,30 - 60 min,4.5
Nut / Soy Free,Short Rib Burgers on Pretzel Buns with Hoppy Cheddar,http://media.blueapron.com/recipes/347/c_main_dish_images/20140221-2159-2-4828/forcard_high_feature.jpg,FALSE,< 30 min,5
Healthy Choice; Vegetarian; Vegan,"Roasted Sweet Potato Rounds, Carrots, & Broccolette En Papillote",http://media.blueapron.com/recipes/350/c_main_dish_images/20140221-2234-2-5314/forcard_high_feature.jpg,TRUE,30 - 60 min,4.5
Healthy Choice; Spicy; Nut / Soy Free; Gluten Free,Mexican Chicken Mole with Lime-Cilantro Rice,http://media.blueapron.com/recipes/24/c_main_dish_images/20140206-2153-2-0331/forcard_high_feature.jpg,TRUE,30 - 60 min,4
